review,label
"This movie was absolutely amazing, I loved every moment!","Positive"
"Incredible acting and a heartwarming story.","Positive"
"A must-watch, truly inspiring and beautiful.","Positive"
"The direction and cinematography were top-notch.","Positive"
"Brilliant performances and a powerful message.","Positive"
"This film was a masterpiece in every sense.","Positive"
"Loved the characters and the storyline.","Positive"
"A perfect blend of humor and emotion.","Positive"
"The plot was engaging and well-executed.","Positive"
"Definitely one of the best movies I’ve seen this year!","Positive"
"The movie was boring and too long.","Negative"
"I didn’t like the storyline, it felt forced.","Negative"
"Weak performances and poor direction.","Negative"
"The characters were flat and unrelatable.","Negative"
"I regret wasting my time on this film.","Negative"
"Terrible pacing and confusing plot.","Negative"
"Disappointing and not worth watching.","Negative"
"Unimpressive visuals and dull soundtrack.","Negative"
"The script was full of clichés and lacked originality.","Negative"
"One of the worst movies I’ve ever watched.","Negative"
